target,Pred,fVal
ESSFmc_01,ESSFmc_01,1
ESSFmc_01,ESSFmc_02,0
ESSFmc_01,ESSFmc_03,0
ESSFmc_01,ESSFmc_04,0.15
ESSFmc_01,ESSFmc_05,0.05
ESSFmc_01,ESSFmc_06,0.1
ESSFmc_01,ESSFmc_07,0
ESSFmc_01,ESSFmc_08,0
ESSFmc_01,ESSFmc_09,0.05
ESSFmc_01,ESSFmc_10,0
ESSFmc_02,ESSFmc_01,0
ESSFmc_02,ESSFmc_02,1
ESSFmc_02,ESSFmc_03,0.15
ESSFmc_02,ESSFmc_04,0
ESSFmc_02,ESSFmc_05,0
ESSFmc_02,ESSFmc_06,0
ESSFmc_02,ESSFmc_07,0
ESSFmc_02,ESSFmc_08,0
ESSFmc_02,ESSFmc_09,0
ESSFmc_02,ESSFmc_10,0
ESSFmc_03,ESSFmc_01,0
ESSFmc_03,ESSFmc_02,0.15
ESSFmc_03,ESSFmc_03,1
ESSFmc_03,ESSFmc_04,0.15
ESSFmc_03,ESSFmc_05,0
ESSFmc_03,ESSFmc_06,0
ESSFmc_03,ESSFmc_07,0
ESSFmc_03,ESSFmc_08,0
ESSFmc_03,ESSFmc_09,0
ESSFmc_03,ESSFmc_10,0
ESSFmc_04,ESSFmc_01,0.15
ESSFmc_04,ESSFmc_02,0
ESSFmc_04,ESSFmc_03,0.15
ESSFmc_04,ESSFmc_04,1
ESSFmc_04,ESSFmc_05,0
ESSFmc_04,ESSFmc_06,0
ESSFmc_04,ESSFmc_07,0
ESSFmc_04,ESSFmc_08,0
ESSFmc_04,ESSFmc_09,0
ESSFmc_04,ESSFmc_10,0
ESSFmc_05,ESSFmc_01,0.05
ESSFmc_05,ESSFmc_02,0
ESSFmc_05,ESSFmc_03,0
ESSFmc_05,ESSFmc_04,0
ESSFmc_05,ESSFmc_05,1
ESSFmc_05,ESSFmc_06,0.05
ESSFmc_05,ESSFmc_07,0.1
ESSFmc_05,ESSFmc_08,0
ESSFmc_05,ESSFmc_09,0
ESSFmc_05,ESSFmc_10,0
ESSFmc_06,ESSFmc_01,0.1
ESSFmc_06,ESSFmc_02,0
ESSFmc_06,ESSFmc_03,0
ESSFmc_06,ESSFmc_04,0
ESSFmc_06,ESSFmc_05,0.05
ESSFmc_06,ESSFmc_06,1
ESSFmc_06,ESSFmc_07,0.2
ESSFmc_06,ESSFmc_08,1
ESSFmc_06,ESSFmc_09,0.05
ESSFmc_06,ESSFmc_10,0.2
ESSFmc_07,ESSFmc_01,0
ESSFmc_07,ESSFmc_02,0
ESSFmc_07,ESSFmc_03,0
ESSFmc_07,ESSFmc_04,0
ESSFmc_07,ESSFmc_05,0.05
ESSFmc_07,ESSFmc_06,0.15
ESSFmc_07,ESSFmc_07,1
ESSFmc_07,ESSFmc_08,0.2
ESSFmc_07,ESSFmc_09,0
ESSFmc_07,ESSFmc_10,0.15
ESSFmc_08,ESSFmc_01,0.1
ESSFmc_08,ESSFmc_02,0
ESSFmc_08,ESSFmc_03,0
ESSFmc_08,ESSFmc_04,0
ESSFmc_08,ESSFmc_05,0.05
ESSFmc_08,ESSFmc_06,1
ESSFmc_08,ESSFmc_07,0.2
ESSFmc_08,ESSFmc_08,1
ESSFmc_08,ESSFmc_09,0.05
ESSFmc_08,ESSFmc_10,0.2
ESSFmc_09,ESSFmc_01,0.05
ESSFmc_09,ESSFmc_02,0
ESSFmc_09,ESSFmc_03,0
ESSFmc_09,ESSFmc_04,0
ESSFmc_09,ESSFmc_05,0
ESSFmc_09,ESSFmc_06,0.05
ESSFmc_09,ESSFmc_07,0
ESSFmc_09,ESSFmc_08,0.05
ESSFmc_09,ESSFmc_09,1
ESSFmc_09,ESSFmc_10,0.1
ESSFmc_10,ESSFmc_01,0
ESSFmc_10,ESSFmc_02,0
ESSFmc_10,ESSFmc_03,0
ESSFmc_10,ESSFmc_04,0
ESSFmc_10,ESSFmc_05,0
ESSFmc_10,ESSFmc_06,0.2
ESSFmc_10,ESSFmc_07,0.15
ESSFmc_10,ESSFmc_08,0.2
ESSFmc_10,ESSFmc_09,0.1
ESSFmc_10,ESSFmc_10,1
ESSFmcw_101,ESSFmcw_101,1
ESSFmcw_101,ESSFmcw_102,0.1
ESSFmcw_101,ESSFmcw_103,0.2
ESSFmcw_101,ESSFmcw_110,0.2
ESSFmcw_101,ESSFmcw_111,0
ESSFmcw_102,ESSFmcw_101,0.1
ESSFmcw_102,ESSFmcw_101,0.1
ESSFmcw_102,ESSFmcw_102,1
ESSFmcw_102,ESSFmcw_103,0.15
ESSFmcw_102,ESSFmcw_110,0
ESSFmcw_102,ESSFmcw_111,0
ESSFmcw_103,ESSFmcw_101,0.2
ESSFmcw_103,ESSFmcw_102,0
ESSFmcw_103,ESSFmcw_103,1
ESSFmcw_103,ESSFmcw_110,0.05
ESSFmcw_103,ESSFmcw_111,0
ESSFmcw_110,ESSFmcw_101,0.2
ESSFmcw_110,ESSFmcw_102,0
ESSFmcw_110,ESSFmcw_103,0.2
ESSFmcw_110,ESSFmcw_110,1
ESSFmcw_110,ESSFmcw_111,0.2
ESSFmcw_111,ESSFmcw_101,0
ESSFmcw_111,ESSFmcw_102,0
ESSFmcw_111,ESSFmcw_103,0
ESSFmcw_111,ESSFmcw_110,0.2
ESSFmcw_111,ESSFmcw_111,1
SBSmc2_01,SBSmc2_01,1
SBSmc2_01,SBSmc2_02,0.1
SBSmc2_01,SBSmc2_03,0.25
SBSmc2_01,SBSmc2_05,0.15
SBSmc2_01,SBSmc2_06,0.15
SBSmc2_01,SBSmc2_07,0
SBSmc2_01,SBSmc2_09,0
SBSmc2_01,SBSmc2_10,0
SBSmc2_02,SBSmc2_01,0.1
SBSmc2_02,SBSmc2_02,1
SBSmc2_02,SBSmc2_03,0.1
SBSmc2_02,SBSmc2_05,0
SBSmc2_02,SBSmc2_06,0
SBSmc2_02,SBSmc2_07,0
SBSmc2_02,SBSmc2_09,0
SBSmc2_02,SBSmc2_10,0
SBSmc2_03,SBSmc2_01,0.25
SBSmc2_03,SBSmc2_02,0.1
SBSmc2_03,SBSmc2_03,1
SBSmc2_03,SBSmc2_05,0.05
SBSmc2_03,SBSmc2_06,0.05
SBSmc2_03,SBSmc2_07,0.2
SBSmc2_03,SBSmc2_09,0.2
SBSmc2_03,SBSmc2_10,0
SBSmc2_05,SBSmc2_01,0.15
SBSmc2_05,SBSmc2_02,0
SBSmc2_05,SBSmc2_03,0.05
SBSmc2_05,SBSmc2_05,1
SBSmc2_05,SBSmc2_06,1
SBSmc2_05,SBSmc2_07,0.05
SBSmc2_05,SBSmc2_09,0.2
SBSmc2_05,SBSmc2_10,0.25
SBSmc2_06,SBSmc2_01,0.15
SBSmc2_06,SBSmc2_02,0
SBSmc2_06,SBSmc2_03,0.05
SBSmc2_06,SBSmc2_05,1
SBSmc2_06,SBSmc2_06,1
SBSmc2_06,SBSmc2_07,0.05
SBSmc2_06,SBSmc2_09,0.2
SBSmc2_06,SBSmc2_10,0.25
SBSmc2_07,SBSmc2_01,0
SBSmc2_07,SBSmc2_02,0
SBSmc2_07,SBSmc2_03,0.2
SBSmc2_07,SBSmc2_05,0.05
SBSmc2_07,SBSmc2_06,0.05
SBSmc2_07,SBSmc2_07,1
SBSmc2_07,SBSmc2_09,0
SBSmc2_07,SBSmc2_10,0.2
SBSmc2_09,SBSmc2_01,0
SBSmc2_09,SBSmc2_02,0
SBSmc2_09,SBSmc2_03,0
SBSmc2_09,SBSmc2_05,0.2
SBSmc2_09,SBSmc2_06,0.2
SBSmc2_09,SBSmc2_07,0
SBSmc2_09,SBSmc2_09,1
SBSmc2_09,SBSmc2_10,0.25
SBSmc2_10,SBSmc2_01,0
SBSmc2_10,SBSmc2_02,0
SBSmc2_10,SBSmc2_03,0
SBSmc2_10,SBSmc2_05,0.05
SBSmc2_10,SBSmc2_06,0.05
SBSmc2_10,SBSmc2_07,0.2
SBSmc2_10,SBSmc2_09,0.25
SBSmc2_10,SBSmc2_10,1
W,W,1
X,X,1
W_t,W_t,1
A,A,1
Fm,Fm,1
G,G,1
R,R,1
Sc,Sc,1
W_t,SBSmc2_10,0.3
SBSmc2_10,W_t,0.3
W,W_t,1
W,Sc,1
W,X,1
W,A,1
W,G,1
W,R,1
W_t,W,1
Sc,W,1
X,W,1
A,W,1
G,W,1
R,W,1
W_t,SBSmc2_10,0.3
SBSmc2_10,W_t,0.3
W_t,ESSFmc_09,1
W_t,ESSFmc_10,0.3
ESSFmc_09,W_t,1
ESSFmc_10,W_t,0.3
ESSFmc_02,R,0.3
R,ESSFmc_02,0.3
ESSFmc_02,G,0.3
G,ESSFmc_02,0.3
R,ESSFmcw_102,0.3
W_t,ESSFmcw_111,1
W,ESSFmcw_111,0.3
ESSFmcw_111,W_t,1
ESSFmcw_111,W,0.3
nonfor,nonfor,1
